review,sentiment,emotion,clean_review,sentiment_label,emotion_label
"kualitas barang bagus, dengan harga yg worth the money...bahan nya halus dan tidak gatal kata istri saya.",Positive,Happy,kualitas barang bagus dengan harga yg worth the money bahan nya halus dan tidak gatal kata istri saya,1,2
"Barang sesuai deskripsi, dan pengiriman tepat waktu. Sesuai harapan. Terima kasih!",Positive,Happy,barang sesuai deskripsi dan pengiriman tepat waktu sesuai harapan terima kasih,1,2
"KALI INI BELANJA DISINI SANGAT MENGECEWAKAN!!! FREE ONGKIR, BIASANYA DIKIRIM DNG SI CEPAT REGULER. Tapi KALI INI DIKIRIMNYA DENGAN SI CEPAT HALU !!!KARDUS PENYOK,TERBUKA, BERANTAKAN !!!! SANGAT BURUK DAN JENIS DELIVERY TIDAK SESUAI DENGAN YG ADA DIAPLIKASI !!!",Negative,Sadness,kali ini belanja disini sangat mengecewakan free ongkir biasanya dikirim dng si cepat reguler tapi kali ini dikirimnya dengan si cepat halu kardus penyok terbuka berantakan sangat buruk dan jenis delivery tidak sesuai dengan yg ada diaplikasi,0,4
.mas yg filter ini kok saya enga terima. Yg lain itu ada cuman yg ini yg enga ada. Bagaimana,Negative,Fear,mas yg filter ini kok saya enga terima yg lain itu ada cuman yg ini yg enga ada bagaimana,0,1
Tidak seperti yg diperkirakan sebelumnya. Lebih baik pakai aica aibon.,Negative,Fear,tidak seperti yg diperkirakan sebelumnya lebih baik pakai aica aibon,0,1
Bagus barangnya udah berkali kali beli di sini,Positive,Love,bagus barangnya udah berkali kali beli di sini,1,3
seller lama sekali kirim. order minggu buat rabu pagi sampe selasa g dikirim. baru dikirim rabunya. kamis baru sampe udah kelar butuhnya. udah request cancel bahkan sebelum barang dikirim tapi seller g mau cancelin alasan gabisa cancel dari audit sistem.,Negative,Fear,seller lama sekali kirim order minggu buat rabu pagi sampe selasa g dikirim baru dikirim rabunya kamis baru sampe udah kelar butuhnya udah request cancel bahkan sebelum barang dikirim tapi seller g mau cancelin alasan gabisa cancel dari audit sistem,0,1
barang sudah diterima dan berfungsi dengan baik. terima kasih,Positive,Happy,barang sudah diterima dan berfungsi dengan baik terima kasih,1,2
"Bahannya adem,lembut,cocok dipakai dalam ruangan ber-AC dan bisa terhindar dari gigitan nyamuk. Jadi,rencana mau order warna lain lagi.",Positive,Love,bahannya adem lembut cocok dipakai dalam ruangan ber ac dan bisa terhindar dari gigitan nyamuk jadi rencana mau order warna lain lagi,1,3
mantap..kinerjannya cepat..sangat responsif...recommended !..,Positive,Love,mantap kinerjannya cepat sangat responsif recommended,1,3
"oke sih ini. bahannya enak buat dipakai. tebal tipisnya jg perfect buat sy, ga ketebelan ga ketipisan",Positive,Happy,oke sih ini bahannya enak buat dipakai tebal tipisnya jg perfect buat sy ga ketebelan ga ketipisan,1,2
