review,sentiment,clean_review,sentiment_label
"kualitas barang bagus, dengan harga yg worth the money...bahan nya halus dan tidak gatal kata istri saya.",Positive,kualitas barang bagus dengan harga yg worth the money bahan nya halus dan tidak gatal kata istri saya,1
"Barang sesuai deskripsi, dan pengiriman tepat waktu. Sesuai harapan. Terima kasih!",Positive,barang sesuai deskripsi dan pengiriman tepat waktu sesuai harapan terima kasih,1
"KALI INI BELANJA DISINI SANGAT MENGECEWAKAN!!! FREE ONGKIR, BIASANYA DIKIRIM DNG SI CEPAT REGULER. Tapi KALI INI DIKIRIMNYA DENGAN SI CEPAT HALU !!!KARDUS PENYOK,TERBUKA, BERANTAKAN !!!! SANGAT BURUK DAN JENIS DELIVERY TIDAK SESUAI DENGAN YG ADA DIAPLIKASI !!!",Negative,kali ini belanja disini sangat mengecewakan free ongkir biasanya dikirim dng si cepat reguler tapi kali ini dikirimnya dengan si cepat halu kardus penyok terbuka berantakan sangat buruk dan jenis delivery tidak sesuai dengan yg ada diaplikasi,0
.mas yg filter ini kok saya enga terima. Yg lain itu ada cuman yg ini yg enga ada. Bagaimana,Negative,mas yg filter ini kok saya enga terima yg lain itu ada cuman yg ini yg enga ada bagaimana,0
Tidak seperti yg diperkirakan sebelumnya. Lebih baik pakai aica aibon.,Negative,tidak seperti yg diperkirakan sebelumnya lebih baik pakai aica aibon,0
Bagus barangnya udah berkali kali beli di sini,Positive,bagus barangnya udah berkali kali beli di sini,1
seller lama sekali kirim. order minggu buat rabu pagi sampe selasa g dikirim. baru dikirim rabunya. kamis baru sampe udah kelar butuhnya. udah request cancel bahkan sebelum barang dikirim tapi seller g mau cancelin alasan gabisa cancel dari audit sistem.,Negative,seller lama sekali kirim order minggu buat rabu pagi sampe selasa g dikirim baru dikirim rabunya kamis baru sampe udah kelar butuhnya udah request cancel bahkan sebelum barang dikirim tapi seller g mau cancelin alasan gabisa cancel dari audit sistem,0
barang sudah diterima dan berfungsi dengan baik. terima kasih,Positive,barang sudah diterima dan berfungsi dengan baik terima kasih,1
"Bahannya adem,lembut,cocok dipakai dalam ruangan ber-AC dan bisa terhindar dari gigitan nyamuk. Jadi,rencana mau order warna lain lagi.",Positive,bahannya adem lembut cocok dipakai dalam ruangan ber ac dan bisa terhindar dari gigitan nyamuk jadi rencana mau order warna lain lagi,1
mantap..kinerjannya cepat..sangat responsif...recommended !..,Positive,mantap kinerjannya cepat sangat responsif recommended,1
"oke sih ini. bahannya enak buat dipakai. tebal tipisnya jg perfect buat sy, ga ketebelan ga ketipisan",Positive,oke sih ini bahannya enak buat dipakai tebal tipisnya jg perfect buat sy ga ketebelan ga ketipisan,1
