review,sentiment,emotion,clean_review,sentiment_label,emotion_label
barang yg dikirim tidak sesuai dengan barang yg dipesan.,Negative,Sadness,barang yg dikirim tidak sesuai dengan barang yg dipesan,0,4
"untuk sepatu adidas ultra boost sya tidak bisa lengket, udh dicuci bersih trus sya ampelas bagian yg mau di lem tpi tetep gamau lengket, semoga pembeli yg lain bisa lengket gak seperti di sepatu sya",Negative,Fear,untuk sepatu adidas ultra boost sya tidak bisa lengket udh dicuci bersih trus sya ampelas bagian yg mau di lem tpi tetep gamau lengket semoga pembeli yg lain bisa lengket gak seperti di sepatu sya,0,1
"Terima kasih paketnya sudah sampai.. Barangnya bagus banget, sesuai dengan foto, dan muat pakai baju ini.. Senang banget ???????? Ramah orangnya juga ??",Positive,Happy,terima kasih paketnya sudah sampai barangnya bagus banget sesuai dengan foto dan muat pakai baju ini senang banget ramah orangnya juga,1,2
"Keren, Sampai Langsung Pasang, jepitannya kelebihan satu, Lemari Gampang dirakit, Warna sesuai, Kualitas Ok, Kokoh. mantap mantap",Positive,Happy,keren sampai langsung pasang jepitannya kelebihan satu lemari gampang dirakit warna sesuai kualitas ok kokoh mantap mantap,1,2
"kualitas menurun, sambungan bagian tengah mudah sobek",Negative,Fear,kualitas menurun sambungan bagian tengah mudah sobek,0,1
Istimewa...Akurat dan dicetak dengan sempurna,Positive,Happy,istimewa akurat dan dicetak dengan sempurna,1,2
Quality barang jelek. baut lepas terus,Negative,Anger,quality barang jelek baut lepas terus,0,0
produk bisa dipakai dg baik. semoga awet. fast respon.,Positive,Happy,produk bisa dipakai dg baik semoga awet fast respon,1,2
barang bagus . .gambar sama aslinya sesuai.,Positive,Happy,barang bagus gambar sama aslinya sesuai,1,2
Barang Sampai tapi banyak yang tergores dan penyok di penyangga nya :(,Negative,Fear,barang sampai tapi banyak yang tergores dan penyok di penyangga nya,0,1
"KECEWA DAN SANGAT TDK PUAS DGN PELAYANAN.sejak tgl 18 setelah order barang, saat itu status masih Menunggu Konfirmasi, jadi artinya BELUM DIPROSES OLEH PENJUAL.. Saya melakukan pembatalan karena saya ingin mengganti produk yg akan saya beli DI TOKO yg SAMA.. Saya konfirmasi Penjual melalu Chat sampai 3x untuk minta proses PEMBATALAN.. Sampai malam hari sebelum tidur, status masih Menunggu Konfirmasi yg artinya Pesanan saya BELUM DIPROSES.. Tp kemudian tgl 19 Juli 2021 Pagi, penjual mengubah statusnya menjadi DIPROSES.. Yg artinya penjual tidak berkenan melakukan pembatalan.. Dan status diubah jadi MENUNGGU KURIR (masih ditanggal 19 pagi).. Tapi sampai tgl 21, BARANG BELUM DIKIRIM, dan status masih MENUNGGU KURIR.. Status pengiriman tidak terupdate.. Penjual MENYALAHKAN PIHAK provider pengiriman..Barang baru dikirim setelat saya Lapor Ke Pihak TOKOPEDIA..",Negative,Anger,kecewa dan sangat tdk puas dgn pelayanan sejak tgl setelah order barang saat itu status masih menunggu konfirmasi jadi artinya belum diproses oleh penjual saya melakukan pembatalan karena saya ingin mengganti produk yg akan saya beli di toko yg sama saya konfirmasi penjual melalu chat sampai x untuk minta proses pembatalan sampai malam hari sebelum tidur status masih menunggu konfirmasi yg artinya pesanan saya belum diproses tp kemudian tgl juli pagi penjual mengubah statusnya menjadi diproses yg artinya penjual tidak berkenan melakukan pembatalan dan status diubah jadi menunggu kurir masih ditanggal pagi tapi sampai tgl barang belum dikirim dan status masih menunggu kurir status pengiriman tidak terupdate penjual menyalahkan pihak provider pengiriman barang baru dikirim setelat saya lapor ke pihak tokopedia,0,0
"Seller kirim barang kurang, beli 24 datang hanya 21, dikomplain baik2 malah bilang ga mungkin, nuduh buyer bohong padahal cuma uang 50rb an selisihnya, coba cek tuh sistem sortir disananya, ga bikin kaya kalo cuma mau nilep 50rb an mah",Negative,Anger,seller kirim barang kurang beli datang hanya dikomplain baik malah bilang ga mungkin nuduh buyer bohong padahal cuma uang rb an selisihnya coba cek tuh sistem sortir disananya ga bikin kaya kalo cuma mau nilep rb an mah,0,0
"Bagus, pelayanan cepat tanggap, sopan dan sangat jelas",Positive,Happy,bagus pelayanan cepat tanggap sopan dan sangat jelas,1,2
"Barang Mendarat,,produk original sesuai dengan deskripsi,kemasan rapi ,seller Ramah,fast respon pengiriman pun cepat pokok nya recomended dah,makasih tokopedia makasih admin??",Positive,Love,barang mendarat produk original sesuai dengan deskripsi kemasan rapi seller ramah fast respon pengiriman pun cepat pokok nya recomended dah makasih tokopedia makasih admin,1,3
"Barang hilang/tidak sampai tujuan. Resi nyangkut di agen kurir. Sempat kontak CS, dan CS mau tanyakan ke rekannya dulu, tapi sampai sekarang tidak ada kejelasan. Sayang sekali. Untung ini barang murah, jadi sy jg tidak rugi2 amat.",Negative,Fear,barang hilang tidak sampai tujuan resi nyangkut di agen kurir sempat kontak cs dan cs mau tanyakan ke rekannya dulu tapi sampai sekarang tidak ada kejelasan sayang sekali untung ini barang murah jadi sy jg tidak rugi amat,0,1
"Produk swallow, tp ukuran yg dikirim tdk sesuai deskripsi... Saya tanya, seller ga respon... Payah",Negative,Sadness,produk swallow tp ukuran yg dikirim tdk sesuai deskripsi saya tanya seller ga respon payah,0,4
"Barang sesuai dengan deskripsi, sedot nya kuat banget, cocok buat debu� kecil di sela� laptop ato mobil, woke banget lah cincai lah siplah",Positive,Love,barang sesuai dengan deskripsi sedot nya kuat banget cocok buat debu kecil di sela laptop ato mobil woke banget lah cincai lah siplah,1,3
barang sesuai deskripsi pengiriman cepat??????????????????????????????????????????????????????????????????????????????????????????,Positive,Love,barang sesuai deskripsi pengiriman cepat,1,3
sangat sangat sangat sangat slow respon,Negative,Anger,sangat sangat sangat sangat slow respon,0,0
